"","X","runnum","n","spreadern","ntype","ptrustavg","passlimit","accpthres","itrustavg","stepsn","fininitval","X","agents.n","links.n","spreaders.avglinks","ambiv.n","ambiv.avglinks","ambiv.cluster.coeff","ambiv.betweenness","ambiv.eigencent","ambiv.pgrank","ambiv.closeness","rej.n","rej.avglinks","rej.coeff","rej.betweenness","rej.eigencent","rej.pgrank","rej.closeness","aa.n","aa.avglinks","aa.coeff","aa.betweenness","aa.eigencent","aa.pgrank","aa.closeness","as.n","as.avglinks","as.coeff","as.betweenness","as.eigencent","as.pgrank","as.closeness","believers.n","misinfo.avgexpose.n"
"36",36,36,125,1,"""scale-free""",25,1,25,50,500,"count turtles",36,125,124,1,34,1.61764705882353,0,259.5,0.0857798898157429,0.00671626130162648,0.159222051085152,5,1.4,0,332.2,0.117591986778713,0.00583536687984719,0.153957315368034,6,1.5,0,101.5,0.0535248390796466,0.00648251923091609,0.152866108240654,80,2.2125,0,380.4625,0.123842640844188,0.00879468957449958,0.166453102358206,67,0.88
"37",37,37,125,1,"""scale-free""",25,1,25,50,500,"count turtles",37,125,124,1,34,1.5,0,101.882352941176,0.0576266260245531,0.00629973959445499,0.187151364381333,7,1.14285714285714,0,17.5714285714286,0.0386937466614092,0.00516527806448905,0.165603043923513,7,2.57142857142857,0,384.142857142857,0.0773886471768188,0.0101285394011419,0.18746102755603,77,2.22077922077922,0,374.883116883117,0.0933275422407799,0.00881496274713135,0.19012555517557,66,0.992
"38",38,38,125,1,"""scale-free""",25,1,25,50,500,"count turtles",38,125,124,2,33,1.6969696969697,0,178.909090909091,0.0965544110119394,0.00696841930929515,0.172535745096222,4,2,0,210.5,0.0699602238143389,0.00814016406997407,0.172867713596483,7,1,0,0,0.0841526497528968,0.00449784143334709,0.16392471118387,81,2.18518518518519,0,397.185185185185,0.123109153132484,0.00871600761086338,0.172680799350863,1,0.024
"39",39,39,125,1,"""scale-free""",25,1,25,50,500,"count turtles",39,125,124,1,33,1.6969696969697,0,175.454545454545,0.0597221402284722,0.00704910898586923,0.176611507510083,8,2.5,0,396.75,0.0132845425236878,0.00999293825132219,0.15322602689303,5,1.2,0,24.6,0.0668665580173212,0.00523319812795822,0.186537113646064,79,2.10126582278481,0,384.974683544304,0.0659594322501853,0.00837050514956895,0.171612322461808,50,0.816
"40",40,40,125,1,"""scale-free""",25,1,25,50,500,"count turtles",40,125,124,7,35,2.45714285714286,0,461.714285714286,0.135967380622052,0.00961597746150129,0.178363134699889,7,2.28571428571429,0,379,0.0367314744289086,0.00916899681377407,0.170625960077508,6,2.16666666666667,0,276.666666666667,0.043009325990397,0.00896711401898003,0.165654370305041,77,1.72727272727273,0,247.883116883117,0.0662009117806994,0.00708383281866436,0.166840322568296,46,0.816
"41",41,41,125,1,"""scale-free""",25,1,25,50,500,"count turtles",41,125,124,1,33,2,0,464,0.119268273835277,0.00793028206124784,0.178273371469901,4,2.75,0,213.5,0.0663336533347437,0.0112418168056928,0.1827077444469,7,2.57142857142857,0,465,0.0716910479597677,0.00999035718933031,0.173622856750505,81,1.88888888888889,0,230.950617283951,0.0857228847405654,0.00769630770902145,0.172243051551662,70,0.944
"42",42,42,125,1,"""scale-free""",25,1,25,50,500,"count turtles",42,125,124,3,33,2,0,320.848484848485,0.0529282515225368,0.00814487492269557,0.173433725036546,5,1.8,0,212.8,0.0756875134459971,0.0072692510766154,0.18745061585555,6,1.5,0,158,0.0457386159688989,0.00627782009241338,0.173722263541641,81,2.02469135802469,0,300.79012345679,0.0768046575181116,0.00811365372362332,0.183491017214278,63,0.928
"43",43,43,125,1,"""scale-free""",25,1,25,50,30,"count turtles",43,125,124,1,35,1.77142857142857,0,309.257142857143,0.0761435308384663,0.0070880416852593,0.166644316152437,6,1,0,0,0.0605820988732357,0.00455991477263852,0.158985166365563,6,1.33333333333333,0,40.8333333333333,0.0211805579320251,0.00593804645703086,0.141870809256088,78,2.20512820512821,0,382.884615384615,0.0741626772954027,0.00883244581587062,0.167178588709142,77,1
"44",44,44,125,1,"""scale-free""",25,1,25,50,500,"count turtles",44,125,124,2,33,1.93939393939394,0,226.636363636364,0.100083425248968,0.00785109129244841,0.172320241039493,7,1.71428571428571,0,485.857142857143,0.0967970958963046,0.00702596931603948,0.176456150468314,9,2,0,213.444444444444,0.100019948214888,0.00821443820450588,0.163465169701282,76,2.02631578947368,0,352.223684210526,0.102837890514014,0.00812897708284701,0.168842285966713,17,0.224
"45",45,45,125,1,"""scale-free""",25,1,25,50,500,"count turtles",45,125,124,1,32,1.8125,0,201.375,0.0674462373630237,0.00738742760850285,0.195219493508609,4,1.75,0,181.75,0.0759683384484779,0.00716703080660447,0.206529643952106,7,1.57142857142857,0,153.857142857143,0.0429370334647285,0.00655642761651847,0.199842278049083,82,2.09756097560976,0,313.024390243902,0.0682902955152532,0.0084029170729983,0.194161377560645,72,0.952
